,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_seed,0_dataset,0_eval_type,1_task,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,ace8b4d6-3e29-40bb-82c8-07b96d74d8d9,0,110,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50/L0_Reporting/9d495246-75ef-4b88-b382-adcf8c9f2087_T110,0,CVRTDataModule,test,115,resnet50,64,0.01,0.05,"['stage_3', 'stage_4']",1.3861285,0.444,853147.0,26476544.0
1,ace8b4d6-3e29-40bb-82c8-07b96d74d8d9,0,110,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50/L0_Reporting/9d495246-75ef-4b88-b382-adcf8c9f2087_T110,0,CVRTDataModule,test,115,resnet50,64,0.01,0.05,"['stage_3', 'stage_4']",1.8084651,0.197,25623397.0,26476544.0
