Base_Model,Ablation,Task,Performance
0,0,Inside,0.7030000000000001
0,0,Inside,0.6739999999999999
0,0,Inside,0.663
0,1,Inside,-0.23299999999999998
0,1,Inside,-0.23099999999999998
0,1,Inside,-0.20899999999999996
0,0,Number,0.355
0,0,Number,0.30200000000000005
0,0,Number,0.29700000000000004
0,1,Number,-0.0050000000000000044
0,1,Number,-0.0030000000000000027
0,1,Number,-0.0030000000000000027
1,0,Inside,0.5760000000000001
1,0,Inside,0.621
1,0,Inside,0.6990000000000001
1,1,Inside,-0.020000000000000018
1,1,Inside,0.069
1,1,Inside,-0.14900000000000002
1,0,Number,0.64
1,0,Number,0.6699999999999999
1,0,Number,0.5800000000000001
1,1,Number,-0.238
1,1,Number,-0.394
1,1,Number,-0.30500000000000005
2,0,Inside,0.669
2,0,Inside,0.663
2,0,Inside,0.28400000000000003
2,1,Inside,-0.04200000000000004
2,1,Inside,-0.05699999999999994
2,1,Inside,-0.06399999999999995
2,0,Number,0.723
2,0,Number,0.51
2,0,Number,0.5469999999999999
2,1,Number,-0.20099999999999996
2,1,Number,-0.128
2,1,Number,-0.009999999999999953
