,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_seed,0_dataset,0_eval_type,1_task,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,47d29371-a687-4db8-82c8-161e51e9d439,0,115,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Model_Reporting/732bcf3e-974c-44b6-ae4d-d1402d5961e4,0,CVRTDataModule,test,115,resnet50,32,0.001,-1,None,0.1581277,0.994,0.0,0.0
1,47d29371-a687-4db8-82c8-161e51e9d439,0,115,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Model_Reporting/732bcf3e-974c-44b6-ae4d-d1402d5961e4,0,CVRTDataModule,test,116,resnet50,32,0.001,-1,None,1.2103193,0.514,0.0,0.0
2,47d29371-a687-4db8-82c8-161e51e9d439,0,115,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Model_Reporting/732bcf3e-974c-44b6-ae4d-d1402d5961e4,0,CVRTDataModule,test,117,resnet50,32,0.001,-1,None,1.6031907,0.389,0.0,0.0
3,47d29371-a687-4db8-82c8-161e51e9d439,0,115,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Model_Reporting/732bcf3e-974c-44b6-ae4d-d1402d5961e4,0,CVRTDataModule,test,118,resnet50,32,0.001,-1,None,0.13751218,0.998,0.0,0.0
4,47d29371-a687-4db8-82c8-161e51e9d439,0,115,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Model_Reporting/732bcf3e-974c-44b6-ae4d-d1402d5961e4,0,CVRTDataModule,test,119,resnet50,32,0.001,-1,None,0.17239058,0.999,0.0,0.0
5,47d29371-a687-4db8-82c8-161e51e9d439,0,115,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Model_Reporting/732bcf3e-974c-44b6-ae4d-d1402d5961e4,0,CVRTDataModule,test,120,resnet50,32,0.001,-1,None,0.137419,0.995,0.0,0.0
