,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,0_LM_init,0_freeze_until,1_task,2_val_acc,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0
0,1,1,0,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/BERT_Small/SVAgr_S_Models/,BERT_small,1,SyntaxDataModule,False,-1.0,0,1.0,4.0,False,BERT_small,32,0.0001,-1,-1,,,,
1,1,0,0,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/BERT_Small/SVAgr_S_Models/,BERT_small,1,SyntaxDataModule,,,0,,,,BERT_small,32,0.0001,-1,-1,test,0.08395381,0.9970703,0.0
2,1,0,0,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/BERT_Small/SVAgr_S_Models/,BERT_small,1,SyntaxDataModule,,,1,,,,BERT_small,32,0.0001,-1,-1,test,2.1416478,0.31933594,0.0
3,1,0,0,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/BERT_Small/SVAgr_S_Models/,BERT_small,1,SyntaxDataModule,,,2,,,,BERT_small,32,0.0001,-1,-1,test,2.1323092,0.43359375,0.0
4,1,0,0,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/BERT_Small/SVAgr_S_Models/,BERT_small,1,SyntaxDataModule,,,3,,,,BERT_small,32,0.0001,-1,-1,test,0.13840693,0.990625,0.0
5,1,0,0,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/BERT_Small/SVAgr_S_Models/,BERT_small,1,SyntaxDataModule,,,4,,,,BERT_small,32,0.0001,-1,-1,test,0.05512641,1.0,0.0
6,2,1,0,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/BERT_Small/SVAgr_S_Models/,BERT_small,2,SyntaxDataModule,False,-1.0,0,0.9980000257492065,10.0,False,BERT_small,32,0.0001,-1,-1,,,,
7,2,0,0,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/BERT_Small/SVAgr_S_Models/,BERT_small,2,SyntaxDataModule,,,0,,,,BERT_small,32,0.0001,-1,-1,test,0.13157511,1.0,0.0
8,2,0,0,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/BERT_Small/SVAgr_S_Models/,BERT_small,2,SyntaxDataModule,,,1,,,,BERT_small,32,0.0001,-1,-1,test,2.0791433,0.30273438,0.0
9,2,0,0,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/BERT_Small/SVAgr_S_Models/,BERT_small,2,SyntaxDataModule,,,2,,,,BERT_small,32,0.0001,-1,-1,test,2.155898,0.3955078,0.0
10,2,0,0,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/BERT_Small/SVAgr_S_Models/,BERT_small,2,SyntaxDataModule,,,3,,,,BERT_small,32,0.0001,-1,-1,test,0.19921234,1.0,0.0
11,2,0,0,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/BERT_Small/SVAgr_S_Models/,BERT_small,2,SyntaxDataModule,,,4,,,,BERT_small,32,0.0001,-1,-1,test,0.053504527,1.0,0.0
12,3,1,0,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/BERT_Small/SVAgr_S_Models/,BERT_small,3,SyntaxDataModule,False,-1.0,0,1.0,7.0,False,BERT_small,32,0.0001,-1,-1,,,,
13,3,0,0,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/BERT_Small/SVAgr_S_Models/,BERT_small,3,SyntaxDataModule,,,0,,,,BERT_small,32,0.0001,-1,-1,test,0.0662096,0.99902344,0.0
14,3,0,0,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/BERT_Small/SVAgr_S_Models/,BERT_small,3,SyntaxDataModule,,,1,,,,BERT_small,32,0.0001,-1,-1,test,2.204661,0.34277344,0.0
15,3,0,0,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/BERT_Small/SVAgr_S_Models/,BERT_small,3,SyntaxDataModule,,,2,,,,BERT_small,32,0.0001,-1,-1,test,2.164019,0.35546875,0.0
16,3,0,0,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/BERT_Small/SVAgr_S_Models/,BERT_small,3,SyntaxDataModule,,,3,,,,BERT_small,32,0.0001,-1,-1,test,0.09605062,0.996875,0.0
17,3,0,0,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/BERT_Small/SVAgr_S_Models/,BERT_small,3,SyntaxDataModule,,,4,,,,BERT_small,32,0.0001,-1,-1,test,0.05350362,1.0,0.0
