Base_Model,Ablation,Task,Performance
0,0,Contact,0.5489999999999999
0,0,Contact,0.563
0,0,Contact,0.5489999999999999
0,1,Contact,-0.49500000000000005
0,1,Contact,-0.502
0,1,Contact,-0.49600000000000005
0,0,Number,0.498
0,0,Number,0.631
0,0,Number,0.384
0,1,Number,-0.08900000000000008
0,1,Number,-0.18800000000000006
0,1,Number,-0.11399999999999999
1,0,Contact,0.28700000000000003
1,0,Contact,0.30400000000000005
1,0,Contact,0.281
1,1,Contact,-0.22599999999999998
1,1,Contact,-0.21199999999999997
1,1,Contact,-0.22399999999999998
1,0,Number,0.5499999999999999
1,0,Number,0.556
1,0,Number,0.547
1,1,Number,-0.15699999999999997
1,1,Number,-0.13899999999999996
1,1,Number,-0.13800000000000007
2,0,Contact,0.649
2,0,Contact,0.725
2,0,Contact,0.7070000000000001
2,1,Contact,-0.433
2,1,Contact,-0.44099999999999995
2,1,Contact,-0.42700000000000005
2,0,Number,0.527
2,0,Number,0.393
2,0,Number,0.469
2,1,Number,0.04099999999999998
2,1,Number,0.09700000000000003
2,1,Number,0.044999999999999984
