Base_Model,Ablation,Task,Performance
0,0,Contact,0.377
0,0,Contact,0.42500000000000004
0,0,Contact,0.39
0,1,Contact,-0.5309999999999999
0,1,Contact,-0.5489999999999999
0,1,Contact,-0.536
0,0,Number,0.5609999999999999
0,0,Number,0.601
0,0,Number,0.69
0,1,Number,0.013000000000000012
0,1,Number,0.0010000000000000009
0,1,Number,0.0
1,0,Contact,0.698
1,0,Contact,0.72
1,0,Contact,0.712
1,1,Contact,-0.498
1,1,Contact,-0.499
1,1,Contact,-0.504
1,0,Number,0.637
1,0,Number,0.6970000000000001
1,0,Number,0.72
1,1,Number,0.029000000000000026
1,1,Number,-0.04400000000000004
1,1,Number,-0.17599999999999993
2,0,Contact,0.627
2,0,Contact,0.612
2,0,Contact,0.618
2,1,Contact,-0.437
2,1,Contact,-0.43
2,1,Contact,-0.454
2,0,Number,0.4119999999999999
2,0,Number,0.591
2,0,Number,0.4109999999999999
2,1,Number,-0.019000000000000017
2,1,Number,0.009000000000000008
2,1,Number,-0.026000000000000023
