Base_Model,Ablation,Task,Performance
0,0,Contact,0.669
0,0,Contact,0.279
0,0,Contact,0.727
0,1,Contact,-0.125
0,1,Contact,-0.22500000000000003
0,1,Contact,-0.14100000000000001
0,0,Number,0.577
0,0,Number,0.40800000000000003
0,0,Number,0.6519999999999999
0,1,Number,-0.16000000000000003
0,1,Number,-0.17100000000000004
0,1,Number,-0.20199999999999996
1,0,Contact,0.694
1,0,Contact,0.6890000000000001
1,0,Contact,0.6719999999999999
1,1,Contact,-0.08799999999999997
1,1,Contact,-0.14500000000000002
1,1,Contact,-0.182
1,0,Number,0.53
1,0,Number,0.5640000000000001
1,0,Number,0.494
1,1,Number,-0.127
1,1,Number,-0.17100000000000004
1,1,Number,-0.126
2,0,Contact,0.0
2,0,Contact,0.0
2,0,Contact,0.654
2,1,Contact,0.008000000000000007
2,1,Contact,-0.17600000000000005
2,1,Contact,-0.27799999999999997
2,0,Number,0.398
2,0,Number,0.387
2,0,Number,0.394
2,1,Number,-0.243
2,1,Number,-0.257
2,1,Number,-0.23199999999999998
