,Unnamed: 0,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_seed,0_dataset,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max,Quality Score,Base Model
19,19,ac9338d9-4c12-4f42-b98a-d09782470ef0,1,110,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50/Mask_Parameters/883cd15e-cf44-43bd-8fe9-56a91090aef7/110/T110_0.05_1stage,0,CVRTDataModule,110,0.9980000257492064,1.435863971710205,90.0,True,resnet50,64,0.0001,0.05,['stage_4'],,,,,,0.15399999999999991,883cd15e-cf44-43bd-8fe9-56a91090aef7
20,20,ac9338d9-4c12-4f42-b98a-d09782470ef0,0,110,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50/Mask_Parameters/883cd15e-cf44-43bd-8fe9-56a91090aef7/110/T110_0.05_1stage,0,CVRTDataModule,109,,,,,resnet50,64,0.0001,0.05,['stage_4'],validate,1.3851413,0.588,14211075.0,19398656.0,0.15399999999999991,883cd15e-cf44-43bd-8fe9-56a91090aef7
21,21,ac9338d9-4c12-4f42-b98a-d09782470ef0,0,110,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50/Mask_Parameters/883cd15e-cf44-43bd-8fe9-56a91090aef7/110/T110_0.05_1stage,0,CVRTDataModule,110,,,,,resnet50,64,0.0001,0.05,['stage_4'],validate,1.386665,0.262,14211075.0,19398656.0,0.15399999999999991,883cd15e-cf44-43bd-8fe9-56a91090aef7
22,22,ac9338d9-4c12-4f42-b98a-d09782470ef0,0,110,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50/Mask_Parameters/883cd15e-cf44-43bd-8fe9-56a91090aef7/110/T110_0.05_1stage,0,CVRTDataModule,111,,,,,resnet50,64,0.0001,0.05,['stage_4'],validate,1.3851358,0.542,14211075.0,19398656.0,0.15399999999999991,883cd15e-cf44-43bd-8fe9-56a91090aef7
23,23,ac9338d9-4c12-4f42-b98a-d09782470ef0,0,110,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50/Mask_Parameters/883cd15e-cf44-43bd-8fe9-56a91090aef7/110/T110_0.05_1stage,0,CVRTDataModule,112,,,,,resnet50,64,0.0001,0.05,['stage_4'],validate,1.3852805,0.576,14211075.0,19398656.0,0.15399999999999991,883cd15e-cf44-43bd-8fe9-56a91090aef7
24,24,ac9338d9-4c12-4f42-b98a-d09782470ef0,0,110,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50/Mask_Parameters/883cd15e-cf44-43bd-8fe9-56a91090aef7/110/T110_0.05_1stage,0,CVRTDataModule,113,,,,,resnet50,64,0.0001,0.05,['stage_4'],validate,1.3841184,0.696,14211075.0,19398656.0,0.15399999999999991,883cd15e-cf44-43bd-8fe9-56a91090aef7
25,25,ac9338d9-4c12-4f42-b98a-d09782470ef0,0,110,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50/Mask_Parameters/883cd15e-cf44-43bd-8fe9-56a91090aef7/110/T110_0.05_1stage,0,CVRTDataModule,114,,,,,resnet50,64,0.0001,0.05,['stage_4'],validate,1.3857175,0.542,14211075.0,19398656.0,0.15399999999999991,883cd15e-cf44-43bd-8fe9-56a91090aef7
26,26,ac9338d9-4c12-4f42-b98a-d09782470ef0,0,110,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50/Mask_Parameters/883cd15e-cf44-43bd-8fe9-56a91090aef7/110/T110_0.05_1stage,0,CVRTDataModule,109,,,,,resnet50,64,0.0001,0.05,['stage_4'],validate,1.3851371,0.588,14211075.0,19398656.0,0.15399999999999991,883cd15e-cf44-43bd-8fe9-56a91090aef7
27,27,ac9338d9-4c12-4f42-b98a-d09782470ef0,0,110,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50/Mask_Parameters/883cd15e-cf44-43bd-8fe9-56a91090aef7/110/T110_0.05_1stage,0,CVRTDataModule,110,,,,,resnet50,64,0.0001,0.05,['stage_4'],validate,1.3866652,0.256,14211075.0,19398656.0,0.15399999999999991,883cd15e-cf44-43bd-8fe9-56a91090aef7
28,28,ac9338d9-4c12-4f42-b98a-d09782470ef0,0,110,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50/Mask_Parameters/883cd15e-cf44-43bd-8fe9-56a91090aef7/110/T110_0.05_1stage,0,CVRTDataModule,111,,,,,resnet50,64,0.0001,0.05,['stage_4'],validate,1.3851174,0.546,14211075.0,19398656.0,0.15399999999999991,883cd15e-cf44-43bd-8fe9-56a91090aef7
