,Unnamed: 0,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_seed,0_dataset,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max,Base Model
13,13,49da8caf-4e50-4050-9a8a-2123c471f07f,0,103,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Pruning_Parameters/1d366e8a-e3b4-4453-80ed-640f69fdb3af/103/T103_0.05_5stage,0,CVRTDataModule,103,,,,,resnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.384859,0.984,1312293.0,27911360.0,1d366e8a-e3b4-4453-80ed-640f69fdb3af
13,13,43d7e279-a7f6-4f65-8747-212c17b699a8,0,103,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Pruning_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/103/T103_0.05_5stage,0,CVRTDataModule,103,,,,,resnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.3129238,1.0,1382464.0,27911360.0,2b96162d-4c11-4eaa-822c-c0075d8337fb
13,13,47f15510-1b49-42a4-a22f-a1fc7758ed60,0,103,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Pruning_Parameters/b80c24dc-266d-4c4d-9967-ee59215ca185/103/T103_0.1_5stage,0,CVRTDataModule,103,,,,,resnet50,64,0.01,0.1,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,0.55520046,0.984,1023472.0,27911360.0,b80c24dc-266d-4c4d-9967-ee59215ca185
