,Unnamed: 0,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,0_LM_init,0_freeze_until,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max,Quality Score,Base Model
16,16,a4bddb79-1d45-4a8e-965c-cd405980aac9,1,7,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small_LM/Mask_Parameters/8ea8cc02-17cf-491f-ac87-25ed01901a5b/7/T7_0.05_2stage,BERT_small,0,SyntaxDataModule,False,-1.0,7,1.0,0.0549797117710113,90.0,True,BERT_small,64,0.0001,0.05,2,,,,,,0.42333335000000005,8ea8cc02-17cf-491f-ac87-25ed01901a5b
17,17,a4bddb79-1d45-4a8e-965c-cd405980aac9,0,7,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small_LM/Mask_Parameters/8ea8cc02-17cf-491f-ac87-25ed01901a5b/7/T7_0.05_2stage,BERT_small,0,SyntaxDataModule,,,5,,,,,BERT_small,64,0.0001,0.05,2,validate,1.3861054,0.776,6453500.0,6553600.0,0.42333335000000005,8ea8cc02-17cf-491f-ac87-25ed01901a5b
18,18,a4bddb79-1d45-4a8e-965c-cd405980aac9,0,7,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small_LM/Mask_Parameters/8ea8cc02-17cf-491f-ac87-25ed01901a5b/7/T7_0.05_2stage,BERT_small,0,SyntaxDataModule,,,6,,,,,BERT_small,64,0.0001,0.05,2,validate,1.3859688,0.916,6453500.0,6553600.0,0.42333335000000005,8ea8cc02-17cf-491f-ac87-25ed01901a5b
19,19,a4bddb79-1d45-4a8e-965c-cd405980aac9,0,7,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small_LM/Mask_Parameters/8ea8cc02-17cf-491f-ac87-25ed01901a5b/7/T7_0.05_2stage,BERT_small,0,SyntaxDataModule,,,7,,,,,BERT_small,64,0.0001,0.05,2,validate,1.3861936,0.466,6453500.0,6553600.0,0.42333335000000005,8ea8cc02-17cf-491f-ac87-25ed01901a5b
20,20,a4bddb79-1d45-4a8e-965c-cd405980aac9,0,7,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small_LM/Mask_Parameters/8ea8cc02-17cf-491f-ac87-25ed01901a5b/7/T7_0.05_2stage,BERT_small,0,SyntaxDataModule,,,8,,,,,BERT_small,64,0.0001,0.05,2,validate,1.3862132,0.57666665,6453500.0,6553600.0,0.42333335000000005,8ea8cc02-17cf-491f-ac87-25ed01901a5b
21,21,a4bddb79-1d45-4a8e-965c-cd405980aac9,0,7,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small_LM/Mask_Parameters/8ea8cc02-17cf-491f-ac87-25ed01901a5b/7/T7_0.05_2stage,BERT_small,0,SyntaxDataModule,,,9,,,,,BERT_small,64,0.0001,0.05,2,validate,1.3859895,1.0,6453500.0,6553600.0,0.42333335000000005,8ea8cc02-17cf-491f-ac87-25ed01901a5b
22,22,a4bddb79-1d45-4a8e-965c-cd405980aac9,0,7,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small_LM/Mask_Parameters/8ea8cc02-17cf-491f-ac87-25ed01901a5b/7/T7_0.05_2stage,BERT_small,0,SyntaxDataModule,,,5,,,,,BERT_small,64,0.0001,0.05,2,validate,1.3860542,0.782,6453500.0,6553600.0,0.42333335000000005,8ea8cc02-17cf-491f-ac87-25ed01901a5b
23,23,a4bddb79-1d45-4a8e-965c-cd405980aac9,0,7,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small_LM/Mask_Parameters/8ea8cc02-17cf-491f-ac87-25ed01901a5b/7/T7_0.05_2stage,BERT_small,0,SyntaxDataModule,,,6,,,,,BERT_small,64,0.0001,0.05,2,validate,1.385858,0.958,6453500.0,6553600.0,0.42333335000000005,8ea8cc02-17cf-491f-ac87-25ed01901a5b
24,24,a4bddb79-1d45-4a8e-965c-cd405980aac9,0,7,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small_LM/Mask_Parameters/8ea8cc02-17cf-491f-ac87-25ed01901a5b/7/T7_0.05_2stage,BERT_small,0,SyntaxDataModule,,,7,,,,,BERT_small,64,0.0001,0.05,2,validate,1.3861876,0.418,6453500.0,6553600.0,0.42333335000000005,8ea8cc02-17cf-491f-ac87-25ed01901a5b
25,25,a4bddb79-1d45-4a8e-965c-cd405980aac9,0,7,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small_LM/Mask_Parameters/8ea8cc02-17cf-491f-ac87-25ed01901a5b/7/T7_0.05_2stage,BERT_small,0,SyntaxDataModule,,,8,,,,,BERT_small,64,0.0001,0.05,2,validate,1.3862152,0.57666665,6453500.0,6553600.0,0.42333335000000005,8ea8cc02-17cf-491f-ac87-25ed01901a5b
