,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,0_LM_init,0_freeze_until,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0
0,75b4df24-818a-4568-b7ed-05b788d6acdd,1,0,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Model_Hyperparameters,BERT_small,0,SyntaxDataModule,False,-1.0,0,0.29600000381469727,1.3596385717391968,11.0,False,BERT_small,32,0.01,-1,-1,,,,
1,75b4df24-818a-4568-b7ed-05b788d6acdd,0,0,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Model_Hyperparameters,BERT_small,0,SyntaxDataModule,,,0,,,,,BERT_small,32,0.01,-1,-1,validate,1.3602632,0.31757814,0.0
2,d06ebd04-f3aa-4985-a872-5e4aa7dd89ea,1,0,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Model_Hyperparameters,BERT_small,0,SyntaxDataModule,False,-1.0,0,0.28600001335144043,1.3862942457199097,7.0,False,BERT_small,64,0.01,-1,-1,,,,
3,d06ebd04-f3aa-4985-a872-5e4aa7dd89ea,0,0,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Model_Hyperparameters,BERT_small,0,SyntaxDataModule,,,0,,,,,BERT_small,64,0.01,-1,-1,validate,1.3862944,0.29296875,0.0
4,16e4b6d6-cc05-4ac0-b1b1-40859c6b8614,1,0,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Model_Hyperparameters,BERT_small,0,SyntaxDataModule,False,-1.0,0,0.2619999945163727,1.3862947225570679,3.0,False,BERT_small,32,0.001,-1,-1,,,,
5,16e4b6d6-cc05-4ac0-b1b1-40859c6b8614,0,0,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Model_Hyperparameters,BERT_small,0,SyntaxDataModule,,,0,,,,,BERT_small,32,0.001,-1,-1,validate,1.3862948,0.259375,0.0
6,98bb2803-6cdc-4931-beec-6cc490aa3486,1,0,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Model_Hyperparameters,BERT_small,0,SyntaxDataModule,False,-1.0,0,0.2540000081062317,1.3862946033477783,3.0,False,BERT_small,64,0.001,-1,-1,,,,
7,98bb2803-6cdc-4931-beec-6cc490aa3486,0,0,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Model_Hyperparameters,BERT_small,0,SyntaxDataModule,,,0,,,,,BERT_small,64,0.001,-1,-1,validate,1.3862946,0.26322114,0.0
8,c9b1f6f8-890e-48d4-baac-545f205b57c8,1,0,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Model_Hyperparameters,BERT_small,0,SyntaxDataModule,False,-1.0,0,1.0,0.05349045991897583,93.0,False,BERT_small,32,0.0001,-1,-1,,,,
9,c9b1f6f8-890e-48d4-baac-545f205b57c8,0,0,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Model_Hyperparameters,BERT_small,0,SyntaxDataModule,,,0,,,,,BERT_small,32,0.0001,-1,-1,validate,0.053490467,1.0,0.0
