Base_Model,Ablation,Task,Performance
0,0,Inside,0.75
0,0,Inside,0.75
0,0,Inside,0.741
0,1,Inside,-0.025000000000000022
0,1,Inside,-0.010000000000000009
0,1,Inside,-0.02400000000000002
0,0,Contact,0.719
0,0,Contact,0.748
0,0,Contact,0.743
0,1,Contact,-0.04799999999999993
0,1,Contact,-0.049000000000000044
0,1,Contact,-0.10699999999999998
1,0,Inside,0.748
1,0,Inside,0.743
1,0,Inside,0.75
1,1,Inside,0.02200000000000002
1,1,Inside,0.07800000000000001
1,1,Inside,0.0
1,0,Contact,0.723
1,0,Contact,0.723
1,0,Contact,0.6839999999999999
1,1,Contact,-0.601
1,1,Contact,-0.619
1,1,Contact,-0.611
2,0,Inside,0.679
2,0,Inside,0.63
2,0,Inside,0.05499999999999999
2,1,Inside,-0.033999999999999975
2,1,Inside,0.045999999999999985
2,1,Inside,0.10399999999999998
2,0,Contact,0.735
2,0,Contact,0.6719999999999999
2,0,Contact,0.7070000000000001
2,1,Contact,-0.365
2,1,Contact,-0.23200000000000004
2,1,Contact,-0.35699999999999993
