,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,0_LM_init,0_freeze_until,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0
0,c292b3c4-b38d-4e3b-a01a-8c6b65cf4a29,1,10,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small_LM/Model_Hyperparameters,BERT_small,0,SyntaxDataModule,True,-1.0,10,0.25999999046325684,1.3862947225570679,1.0,False,BERT_small,32,0.01,-1,-1,,,,
1,c292b3c4-b38d-4e3b-a01a-8c6b65cf4a29,0,10,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small_LM/Model_Hyperparameters,BERT_small,0,SyntaxDataModule,,,10,,,,,BERT_small,32,0.01,-1,-1,validate,1.3862946,0.2544643,0.0
2,232891c1-f500-402c-b128-b58d24515d35,1,10,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small_LM/Model_Hyperparameters,BERT_small,0,SyntaxDataModule,True,-1.0,10,0.4699999988079071,1.3862888813018799,1.0,False,BERT_small,64,0.01,-1,-1,,,,
3,232891c1-f500-402c-b128-b58d24515d35,0,10,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small_LM/Model_Hyperparameters,BERT_small,0,SyntaxDataModule,,,10,,,,,BERT_small,64,0.01,-1,-1,validate,1.3862894,0.4765625,0.0
4,dd3dca2d-98fd-4025-a638-f6f81e335415,1,10,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small_LM/Model_Hyperparameters,BERT_small,0,SyntaxDataModule,True,-1.0,10,1.0,0.053490523248910904,79.0,False,BERT_small,32,0.001,-1,-1,,,,
5,dd3dca2d-98fd-4025-a638-f6f81e335415,0,10,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small_LM/Model_Hyperparameters,BERT_small,0,SyntaxDataModule,,,10,,,,,BERT_small,32,0.001,-1,-1,validate,0.053490527,1.0,0.0
6,d789f08a-0f4f-479d-a484-46d891fbb887,1,10,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small_LM/Model_Hyperparameters,BERT_small,0,SyntaxDataModule,True,-1.0,10,1.0,0.05349055677652359,93.0,False,BERT_small,64,0.001,-1,-1,,,,
7,d789f08a-0f4f-479d-a484-46d891fbb887,0,10,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small_LM/Model_Hyperparameters,BERT_small,0,SyntaxDataModule,,,10,,,,,BERT_small,64,0.001,-1,-1,validate,0.05349056,1.0,0.0
8,1d22b8e1-1b0b-4f8f-a41f-1c4267bf15c7,1,10,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small_LM/Model_Hyperparameters,BERT_small,0,SyntaxDataModule,True,-1.0,10,1.0,0.053490810096263885,95.0,False,BERT_small,32,0.0001,-1,-1,,,,
9,1d22b8e1-1b0b-4f8f-a41f-1c4267bf15c7,0,10,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small_LM/Model_Hyperparameters,BERT_small,0,SyntaxDataModule,,,10,,,,,BERT_small,32,0.0001,-1,-1,validate,0.053490806,1.0,0.0
