Base_Model,Ablation,Task,Performance
0,0,Inside,-0.196
0,0,Inside,-0.16799999999999998
0,0,Inside,-0.11599999999999999
0,1,Inside,-0.007000000000000006
0,1,Inside,-0.01100000000000001
0,1,Inside,-0.027000000000000024
0,0,Number,0.641
0,0,Number,0.581
0,0,Number,0.619
0,1,Number,0.07
0,1,Number,0.049000000000000044
0,1,Number,0.07400000000000001
1,0,Inside,-0.09099999999999997
1,0,Inside,-0.14700000000000002
1,0,Inside,-0.138
1,1,Inside,0.0
1,1,Inside,-0.008000000000000007
1,1,Inside,0.0
1,0,Number,0.32199999999999995
1,0,Number,0.32199999999999995
1,0,Number,0.32699999999999996
1,1,Number,0.04999999999999999
1,1,Number,0.05399999999999999
1,1,Number,0.05299999999999999
2,0,Inside,0.664
2,0,Inside,0.688
2,0,Inside,0.658
2,1,Inside,-0.021999999999999964
2,1,Inside,-0.009999999999999953
2,1,Inside,-0.055999999999999994
2,0,Number,0.11499999999999999
2,0,Number,0.22499999999999998
2,0,Number,0.125
2,1,Number,0.05099999999999999
2,1,Number,0.016000000000000014
2,1,Number,0.033999999999999975
