Base_Model,Ablation,Task,Performance
0,0,Inside,0.75
0,0,Inside,0.75
0,0,Inside,0.75
0,1,Inside,-0.22699999999999998
0,1,Inside,-0.18000000000000005
0,1,Inside,-0.18999999999999995
0,0,Contact,0.28300000000000003
0,0,Contact,0.36
0,0,Contact,0.42900000000000005
0,1,Contact,0.0050000000000000044
0,1,Contact,-0.0020000000000000018
0,1,Contact,0.0030000000000000027
1,0,Inside,0.676
1,0,Inside,0.736
1,0,Inside,0.75
1,1,Inside,-0.013000000000000012
1,1,Inside,-0.02300000000000002
1,1,Inside,-0.017000000000000015
1,0,Contact,0.7110000000000001
1,0,Contact,0.7
1,0,Contact,0.73
1,1,Contact,-0.24400000000000005
1,1,Contact,-0.032999999999999974
1,1,Contact,-0.15699999999999997
