,Unnamed: 0,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,0_LM_init,0_freeze_until,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max,Quality Score,Base Model
16,16,406e257d-e479-4377-ac61-f17652f092b8,1,11,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Mask_Parameters/8b9a5996-bf37-4b29-bf63-364295d9dda3/11/T11_0.0_0stage,BERT_small,0,SyntaxDataModule,False,-1.0,11,1.0,0.0632549375295639,90.0,True,BERT_small,64,0.0001,0.0,0,,,,,,0.13,8b9a5996-bf37-4b29-bf63-364295d9dda3
17,17,406e257d-e479-4377-ac61-f17652f092b8,0,11,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Mask_Parameters/8b9a5996-bf37-4b29-bf63-364295d9dda3/11/T11_0.0_0stage,BERT_small,0,SyntaxDataModule,,,10,,,,,BERT_small,64,0.0001,0.0,0,validate,1.3700839,0.7,11874146.0,12845056.0,0.13,8b9a5996-bf37-4b29-bf63-364295d9dda3
18,18,406e257d-e479-4377-ac61-f17652f092b8,0,11,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Mask_Parameters/8b9a5996-bf37-4b29-bf63-364295d9dda3/11/T11_0.0_0stage,BERT_small,0,SyntaxDataModule,,,11,,,,,BERT_small,64,0.0001,0.0,0,validate,1.391213,0.24,11874146.0,12845056.0,0.13,8b9a5996-bf37-4b29-bf63-364295d9dda3
19,19,406e257d-e479-4377-ac61-f17652f092b8,0,11,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Mask_Parameters/8b9a5996-bf37-4b29-bf63-364295d9dda3/11/T11_0.0_0stage,BERT_small,0,SyntaxDataModule,,,12,,,,,BERT_small,64,0.0001,0.0,0,validate,1.3782462,0.43,11874146.0,12845056.0,0.13,8b9a5996-bf37-4b29-bf63-364295d9dda3
20,20,406e257d-e479-4377-ac61-f17652f092b8,0,11,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Mask_Parameters/8b9a5996-bf37-4b29-bf63-364295d9dda3/11/T11_0.0_0stage,BERT_small,0,SyntaxDataModule,,,13,,,,,BERT_small,64,0.0001,0.0,0,validate,1.364906,0.755,11874146.0,12845056.0,0.13,8b9a5996-bf37-4b29-bf63-364295d9dda3
21,21,406e257d-e479-4377-ac61-f17652f092b8,0,11,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Mask_Parameters/8b9a5996-bf37-4b29-bf63-364295d9dda3/11/T11_0.0_0stage,BERT_small,0,SyntaxDataModule,,,14,,,,,BERT_small,64,0.0001,0.0,0,validate,1.3744888,0.625,11874146.0,12845056.0,0.13,8b9a5996-bf37-4b29-bf63-364295d9dda3
22,22,406e257d-e479-4377-ac61-f17652f092b8,0,11,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Mask_Parameters/8b9a5996-bf37-4b29-bf63-364295d9dda3/11/T11_0.0_0stage,BERT_small,0,SyntaxDataModule,,,10,,,,,BERT_small,64,0.0001,0.0,0,validate,1.3746138,0.67,11874146.0,12845056.0,0.13,8b9a5996-bf37-4b29-bf63-364295d9dda3
23,23,406e257d-e479-4377-ac61-f17652f092b8,0,11,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Mask_Parameters/8b9a5996-bf37-4b29-bf63-364295d9dda3/11/T11_0.0_0stage,BERT_small,0,SyntaxDataModule,,,11,,,,,BERT_small,64,0.0001,0.0,0,validate,1.3906784,0.265,11874146.0,12845056.0,0.13,8b9a5996-bf37-4b29-bf63-364295d9dda3
24,24,406e257d-e479-4377-ac61-f17652f092b8,0,11,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Mask_Parameters/8b9a5996-bf37-4b29-bf63-364295d9dda3/11/T11_0.0_0stage,BERT_small,0,SyntaxDataModule,,,12,,,,,BERT_small,64,0.0001,0.0,0,validate,1.3787128,0.46,11874146.0,12845056.0,0.13,8b9a5996-bf37-4b29-bf63-364295d9dda3
25,25,406e257d-e479-4377-ac61-f17652f092b8,0,11,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Mask_Parameters/8b9a5996-bf37-4b29-bf63-364295d9dda3/11/T11_0.0_0stage,BERT_small,0,SyntaxDataModule,,,13,,,,,BERT_small,64,0.0001,0.0,0,validate,1.3702606,0.71,11874146.0,12845056.0,0.13,8b9a5996-bf37-4b29-bf63-364295d9dda3
26,26,406e257d-e479-4377-ac61-f17652f092b8,0,11,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Mask_Parameters/8b9a5996-bf37-4b29-bf63-364295d9dda3/11/T11_0.0_0stage,BERT_small,0,SyntaxDataModule,,,14,,,,,BERT_small,64,0.0001,0.0,0,validate,1.3802615,0.565,11874146.0,12845056.0,0.13,8b9a5996-bf37-4b29-bf63-364295d9dda3
27,27,406e257d-e479-4377-ac61-f17652f092b8,0,11,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Mask_Parameters/8b9a5996-bf37-4b29-bf63-364295d9dda3/11/T11_0.0_0stage,BERT_small,0,SyntaxDataModule,,,10,,,,,BERT_small,64,0.0001,0.0,0,validate,0.6866014,0.655,970910.0,12845056.0,0.13,8b9a5996-bf37-4b29-bf63-364295d9dda3
28,28,406e257d-e479-4377-ac61-f17652f092b8,0,11,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Mask_Parameters/8b9a5996-bf37-4b29-bf63-364295d9dda3/11/T11_0.0_0stage,BERT_small,0,SyntaxDataModule,,,11,,,,,BERT_small,64,0.0001,0.0,0,validate,0.053545836,1.0,970910.0,12845056.0,0.13,8b9a5996-bf37-4b29-bf63-364295d9dda3
29,29,406e257d-e479-4377-ac61-f17652f092b8,0,11,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Mask_Parameters/8b9a5996-bf37-4b29-bf63-364295d9dda3/11/T11_0.0_0stage,BERT_small,0,SyntaxDataModule,,,12,,,,,BERT_small,64,0.0001,0.0,0,validate,2.1728692,0.21,970910.0,12845056.0,0.13,8b9a5996-bf37-4b29-bf63-364295d9dda3
30,30,406e257d-e479-4377-ac61-f17652f092b8,0,11,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Mask_Parameters/8b9a5996-bf37-4b29-bf63-364295d9dda3/11/T11_0.0_0stage,BERT_small,0,SyntaxDataModule,,,13,,,,,BERT_small,64,0.0001,0.0,0,validate,1.3862939,0.23,970910.0,12845056.0,0.13,8b9a5996-bf37-4b29-bf63-364295d9dda3
31,31,406e257d-e479-4377-ac61-f17652f092b8,0,11,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Mask_Parameters/8b9a5996-bf37-4b29-bf63-364295d9dda3/11/T11_0.0_0stage,BERT_small,0,SyntaxDataModule,,,14,,,,,BERT_small,64,0.0001,0.0,0,validate,0.053545598,1.0,970910.0,12845056.0,0.13,8b9a5996-bf37-4b29-bf63-364295d9dda3
0,0,06160ffb-ee37-48f6-9b6d-0a28780f5248,1,12,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Mask_Parameters/8b9a5996-bf37-4b29-bf63-364295d9dda3/12/T12_-0.05_0stage,BERT_small,0,SyntaxDataModule,False,-1.0,12,1.0,0.0545991770923137,90.0,True,BERT_small,64,0.01,-0.05,0,,,,,,0.0,8b9a5996-bf37-4b29-bf63-364295d9dda3
1,1,06160ffb-ee37-48f6-9b6d-0a28780f5248,0,12,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Mask_Parameters/8b9a5996-bf37-4b29-bf63-364295d9dda3/12/T12_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,10,,,,,BERT_small,64,0.01,-0.05,0,validate,0.05422751,1.0,12736512.0,12845056.0,0.0,8b9a5996-bf37-4b29-bf63-364295d9dda3
