Base_Model,Ablation,Task,Performance
0,0,Inside,0.6890000000000001
0,0,Inside,0.6970000000000001
0,0,Inside,0.723
0,1,Inside,-0.29000000000000004
0,1,Inside,-0.32
0,1,Inside,-0.30400000000000005
0,0,Number,0.16000000000000003
0,0,Number,0.17900000000000005
0,0,Number,0.248
0,1,Number,-0.0050000000000000044
0,1,Number,-0.025000000000000022
0,1,Number,-0.0030000000000000027
1,0,Inside,0.5369999999999999
1,0,Inside,0.482
1,0,Inside,0.6719999999999999
1,1,Inside,-0.237
1,1,Inside,-0.052000000000000046
1,1,Inside,-0.0020000000000000018
1,0,Number,0.5409999999999999
1,0,Number,0.348
1,0,Number,0.6219999999999999
1,1,Number,-0.254
1,1,Number,0.09000000000000002
1,1,Number,0.07200000000000001
2,0,Inside,0.647
2,0,Inside,0.0
2,0,Inside,0.0
2,1,Inside,-0.10799999999999998
2,1,Inside,-0.14
2,1,Inside,0.0
2,0,Number,0.661
2,0,Number,0.256
2,0,Number,0.402
2,1,Number,0.0050000000000000044
2,1,Number,0.017000000000000015
2,1,Number,0.03899999999999998
