,Unnamed: 0,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,0_LM_init,0_freeze_until,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max,Quality Score,Base Model
16,16,7f6305d5-c693-4030-9d19-a5f1fea88c46,1,17,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/5e44304a-41f3-4770-997a-b4252005b92d/17/T17_-0.05_0stage,BERT_small,0,SyntaxDataModule,False,-1.0,17,1.0,0.0582715235650539,90.0,True,BERT_small,64,0.0001,-0.05,0,,,,,,0.27,5e44304a-41f3-4770-997a-b4252005b92d
17,17,7f6305d5-c693-4030-9d19-a5f1fea88c46,0,17,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/5e44304a-41f3-4770-997a-b4252005b92d/17/T17_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,15,,,,,BERT_small,64,0.0001,-0.05,0,validate,1.3528279,0.43,12439169.0,12845056.0,0.27,5e44304a-41f3-4770-997a-b4252005b92d
18,18,7f6305d5-c693-4030-9d19-a5f1fea88c46,0,17,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/5e44304a-41f3-4770-997a-b4252005b92d/17/T17_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,16,,,,,BERT_small,64,0.0001,-0.05,0,validate,1.3061469,0.61,12439169.0,12845056.0,0.27,5e44304a-41f3-4770-997a-b4252005b92d
19,19,7f6305d5-c693-4030-9d19-a5f1fea88c46,0,17,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/5e44304a-41f3-4770-997a-b4252005b92d/17/T17_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,17,,,,,BERT_small,64,0.0001,-0.05,0,validate,1.3452305,0.48,12439169.0,12845056.0,0.27,5e44304a-41f3-4770-997a-b4252005b92d
20,20,7f6305d5-c693-4030-9d19-a5f1fea88c46,0,17,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/5e44304a-41f3-4770-997a-b4252005b92d/17/T17_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,18,,,,,BERT_small,64,0.0001,-0.05,0,validate,1.3651454,0.35,12439169.0,12845056.0,0.27,5e44304a-41f3-4770-997a-b4252005b92d
21,21,7f6305d5-c693-4030-9d19-a5f1fea88c46,0,17,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/5e44304a-41f3-4770-997a-b4252005b92d/17/T17_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,19,,,,,BERT_small,64,0.0001,-0.05,0,validate,1.3131502,0.62,12439169.0,12845056.0,0.27,5e44304a-41f3-4770-997a-b4252005b92d
22,22,7f6305d5-c693-4030-9d19-a5f1fea88c46,0,17,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/5e44304a-41f3-4770-997a-b4252005b92d/17/T17_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,15,,,,,BERT_small,64,0.0001,-0.05,0,validate,1.3552122,0.42,12439169.0,12845056.0,0.27,5e44304a-41f3-4770-997a-b4252005b92d
23,23,7f6305d5-c693-4030-9d19-a5f1fea88c46,0,17,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/5e44304a-41f3-4770-997a-b4252005b92d/17/T17_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,16,,,,,BERT_small,64,0.0001,-0.05,0,validate,1.3088956,0.575,12439169.0,12845056.0,0.27,5e44304a-41f3-4770-997a-b4252005b92d
24,24,7f6305d5-c693-4030-9d19-a5f1fea88c46,0,17,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/5e44304a-41f3-4770-997a-b4252005b92d/17/T17_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,17,,,,,BERT_small,64,0.0001,-0.05,0,validate,1.3328003,0.51,12439169.0,12845056.0,0.27,5e44304a-41f3-4770-997a-b4252005b92d
25,25,7f6305d5-c693-4030-9d19-a5f1fea88c46,0,17,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/5e44304a-41f3-4770-997a-b4252005b92d/17/T17_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,18,,,,,BERT_small,64,0.0001,-0.05,0,validate,1.3605509,0.4,12439169.0,12845056.0,0.27,5e44304a-41f3-4770-997a-b4252005b92d
