,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,0_LM_init,0_freeze_until,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0
0,10ab2bd2-13c9-46cb-8d2c-5f17be68bd85,1,5,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small_LM/Model_Hyperparameters,BERT_small,0,SyntaxDataModule,True,-1.0,5,0.29600000381469727,1.3862948417663574,15.0,False,BERT_small,32,0.01,-1,-1,,,,
1,10ab2bd2-13c9-46cb-8d2c-5f17be68bd85,0,5,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small_LM/Model_Hyperparameters,BERT_small,0,SyntaxDataModule,,,5,,,,,BERT_small,32,0.01,-1,-1,validate,1.3862946,0.2859375,0.0
2,16cb54db-3095-4802-9340-9cb012a2d062,1,5,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small_LM/Model_Hyperparameters,BERT_small,0,SyntaxDataModule,True,-1.0,5,0.4000000059604645,1.3862943649291992,1.0,False,BERT_small,64,0.01,-1,-1,,,,
3,16cb54db-3095-4802-9340-9cb012a2d062,0,5,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small_LM/Model_Hyperparameters,BERT_small,0,SyntaxDataModule,,,5,,,,,BERT_small,64,0.01,-1,-1,validate,1.3862944,0.42953727,0.0
4,5f42e9cb-278c-49f3-90be-47d4c7c1a2f8,1,5,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small_LM/Model_Hyperparameters,BERT_small,0,SyntaxDataModule,True,-1.0,5,0.25200000405311584,1.3862947225570679,7.0,False,BERT_small,32,0.001,-1,-1,,,,
5,5f42e9cb-278c-49f3-90be-47d4c7c1a2f8,0,5,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small_LM/Model_Hyperparameters,BERT_small,0,SyntaxDataModule,,,5,,,,,BERT_small,32,0.001,-1,-1,validate,1.3862946,0.24648437,0.0
6,627e5d81-4be8-4a9a-aeb6-730733f5f81e,1,5,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small_LM/Model_Hyperparameters,BERT_small,0,SyntaxDataModule,True,-1.0,5,0.9959999918937683,0.10929708927869797,9.0,False,BERT_small,64,0.001,-1,-1,,,,
7,627e5d81-4be8-4a9a-aeb6-730733f5f81e,0,5,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small_LM/Model_Hyperparameters,BERT_small,0,SyntaxDataModule,,,5,,,,,BERT_small,64,0.001,-1,-1,validate,0.108589664,0.99609375,0.0
8,b79f1cbe-6824-4ef1-a7ee-57957e44ccb2,1,5,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small_LM/Model_Hyperparameters,BERT_small,0,SyntaxDataModule,True,-1.0,5,1.0,0.053490523248910904,47.0,False,BERT_small,32,0.0001,-1,-1,,,,
9,b79f1cbe-6824-4ef1-a7ee-57957e44ccb2,0,5,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small_LM/Model_Hyperparameters,BERT_small,0,SyntaxDataModule,,,5,,,,,BERT_small,32,0.0001,-1,-1,validate,0.053490527,1.0,0.0
