Base_Model,Ablation,Task,Performance
0,0,Inside,0.274
0,0,Inside,0.738
0,0,Inside,0.75
0,1,Inside,-0.016000000000000014
0,1,Inside,-0.01100000000000001
0,1,Inside,0.0
0,0,Contact,0.0
0,0,Contact,0.0
0,0,Contact,0.0
0,1,Contact,-0.09299999999999997
0,1,Contact,-0.10899999999999999
0,1,Contact,-0.22199999999999998
1,0,Inside,0.75
1,0,Inside,0.75
1,0,Inside,0.75
1,1,Inside,-0.009000000000000008
1,1,Inside,-0.08899999999999997
1,1,Inside,-0.03400000000000003
1,0,Contact,0.478
1,0,Contact,0.4
1,0,Contact,0.6910000000000001
1,1,Contact,-0.635
1,1,Contact,-0.21400000000000002
1,1,Contact,-0.583
2,0,Inside,0.665
2,0,Inside,0.567
2,0,Inside,0.483
2,1,Inside,0.051999999999999935
2,1,Inside,-0.03400000000000003
2,1,Inside,-0.03399999999999992
2,0,Contact,0.712
2,0,Contact,0.6659999999999999
2,0,Contact,0.6859999999999999
2,1,Contact,-0.393
2,1,Contact,-0.40900000000000003
2,1,Contact,-0.42600000000000005
