,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,1_task,2_val_acc,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,2_test_loss,2_test_acc,2_test_L0
0,1,1,111,,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model3_T111_0.1_3stage,CNN,1,CVRTDataModule,111,1.0,78.0,False,L0resnet50,64,0.01,0.1,"['stage_2', 'stage_3', 'stage_4']",,,
1,1,0,111,zero,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model3_T111_0.1_3stage,CNN,1,CVRTDataModule,109,,,,L0resnet50,64,0.01,0.1,"['stage_2', 'stage_3', 'stage_4']",1.3823303,0.29042968,24523736.0
2,1,0,111,zero,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model3_T111_0.1_3stage,CNN,1,CVRTDataModule,110,,,,L0resnet50,64,0.01,0.1,"['stage_2', 'stage_3', 'stage_4']",1.3921916,0.2390625,24523736.0
3,1,0,111,zero,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model3_T111_0.1_3stage,CNN,1,CVRTDataModule,111,,,,L0resnet50,64,0.01,0.1,"['stage_2', 'stage_3', 'stage_4']",1.3843443,0.28769532,24523736.0
4,1,0,111,zero,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model3_T111_0.1_3stage,CNN,1,CVRTDataModule,112,,,,L0resnet50,64,0.01,0.1,"['stage_2', 'stage_3', 'stage_4']",1.3831587,0.28046876,24523736.0
5,1,0,111,zero,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model3_T111_0.1_3stage,CNN,1,CVRTDataModule,113,,,,L0resnet50,64,0.01,0.1,"['stage_2', 'stage_3', 'stage_4']",1.3762906,0.38554686,24523736.0
6,1,0,111,zero,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model3_T111_0.1_3stage,CNN,1,CVRTDataModule,114,,,,L0resnet50,64,0.01,0.1,"['stage_2', 'stage_3', 'stage_4']",1.3824039,0.30664062,24523736.0
7,1,0,111,random,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model3_T111_0.1_3stage,CNN,1,CVRTDataModule,109,,,,L0resnet50,64,0.01,0.1,"['stage_2', 'stage_3', 'stage_4']",1.3774323,0.3421875,24523736.0
8,1,0,111,random,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model3_T111_0.1_3stage,CNN,1,CVRTDataModule,110,,,,L0resnet50,64,0.01,0.1,"['stage_2', 'stage_3', 'stage_4']",1.3944306,0.21894531,24523736.0
9,1,0,111,random,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model3_T111_0.1_3stage,CNN,1,CVRTDataModule,111,,,,L0resnet50,64,0.01,0.1,"['stage_2', 'stage_3', 'stage_4']",1.3823303,0.3064453,24523736.0
10,1,0,111,random,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model3_T111_0.1_3stage,CNN,1,CVRTDataModule,112,,,,L0resnet50,64,0.01,0.1,"['stage_2', 'stage_3', 'stage_4']",1.3799441,0.2986328,24523736.0
11,1,0,111,random,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model3_T111_0.1_3stage,CNN,1,CVRTDataModule,113,,,,L0resnet50,64,0.01,0.1,"['stage_2', 'stage_3', 'stage_4']",1.3690832,0.40683594,24523736.0
12,1,0,111,random,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model3_T111_0.1_3stage,CNN,1,CVRTDataModule,114,,,,L0resnet50,64,0.01,0.1,"['stage_2', 'stage_3', 'stage_4']",1.3772771,0.33320314,24523736.0
13,1,0,111,,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model3_T111_0.1_3stage,CNN,1,CVRTDataModule,109,,,,L0resnet50,64,0.01,0.1,"['stage_2', 'stage_3', 'stage_4']",0.6643707,0.79121095,3165222.0
14,1,0,111,,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model3_T111_0.1_3stage,CNN,1,CVRTDataModule,110,,,,L0resnet50,64,0.01,0.1,"['stage_2', 'stage_3', 'stage_4']",1.9411175,0.2589844,3165222.0
15,1,0,111,,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model3_T111_0.1_3stage,CNN,1,CVRTDataModule,111,,,,L0resnet50,64,0.01,0.1,"['stage_2', 'stage_3', 'stage_4']",0.31878746,0.99902344,3165222.0
16,1,0,111,,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model3_T111_0.1_3stage,CNN,1,CVRTDataModule,112,,,,L0resnet50,64,0.01,0.1,"['stage_2', 'stage_3', 'stage_4']",0.44390234,0.9980469,3165222.0
17,1,0,111,,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model3_T111_0.1_3stage,CNN,1,CVRTDataModule,113,,,,L0resnet50,64,0.01,0.1,"['stage_2', 'stage_3', 'stage_4']",0.16535011,1.0,3165222.0
18,1,0,111,,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model3_T111_0.1_3stage,CNN,1,CVRTDataModule,114,,,,L0resnet50,64,0.01,0.1,"['stage_2', 'stage_3', 'stage_4']",1.3770657,0.36503905,3165222.0
19,2,1,111,,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model3_T111_0.1_3stage,CNN,1,CVRTDataModule,111,0.9940000176429749,85.0,False,L0resnet50,64,0.0001,0.1,"['stage_2', 'stage_3', 'stage_4']",,,
20,2,0,111,zero,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model3_T111_0.1_3stage,CNN,1,CVRTDataModule,109,,,,L0resnet50,64,0.0001,0.1,"['stage_2', 'stage_3', 'stage_4']",1.386295,0.2560547,14669474.0
21,2,0,111,zero,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model3_T111_0.1_3stage,CNN,1,CVRTDataModule,110,,,,L0resnet50,64,0.0001,0.1,"['stage_2', 'stage_3', 'stage_4']",1.386295,0.2560547,14669474.0
22,2,0,111,zero,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model3_T111_0.1_3stage,CNN,1,CVRTDataModule,111,,,,L0resnet50,64,0.0001,0.1,"['stage_2', 'stage_3', 'stage_4']",1.386295,0.2560547,14669474.0
23,2,0,111,zero,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model3_T111_0.1_3stage,CNN,1,CVRTDataModule,112,,,,L0resnet50,64,0.0001,0.1,"['stage_2', 'stage_3', 'stage_4']",1.386295,0.2560547,14669474.0
24,2,0,111,zero,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model3_T111_0.1_3stage,CNN,1,CVRTDataModule,113,,,,L0resnet50,64,0.0001,0.1,"['stage_2', 'stage_3', 'stage_4']",1.386295,0.2560547,14669474.0
25,2,0,111,zero,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model3_T111_0.1_3stage,CNN,1,CVRTDataModule,114,,,,L0resnet50,64,0.0001,0.1,"['stage_2', 'stage_3', 'stage_4']",1.386295,0.2560547,14669474.0
26,2,0,111,random,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model3_T111_0.1_3stage,CNN,1,CVRTDataModule,109,,,,L0resnet50,64,0.0001,0.1,"['stage_2', 'stage_3', 'stage_4']",1.3862852,0.26035157,14669474.0
27,2,0,111,random,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model3_T111_0.1_3stage,CNN,1,CVRTDataModule,110,,,,L0resnet50,64,0.0001,0.1,"['stage_2', 'stage_3', 'stage_4']",1.386306,0.22363281,14669474.0
28,2,0,111,random,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model3_T111_0.1_3stage,CNN,1,CVRTDataModule,111,,,,L0resnet50,64,0.0001,0.1,"['stage_2', 'stage_3', 'stage_4']",1.3862797,0.27617186,14669474.0
29,2,0,111,random,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model3_T111_0.1_3stage,CNN,1,CVRTDataModule,112,,,,L0resnet50,64,0.0001,0.1,"['stage_2', 'stage_3', 'stage_4']",1.3862846,0.25996095,14669474.0
30,2,0,111,random,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model3_T111_0.1_3stage,CNN,1,CVRTDataModule,113,,,,L0resnet50,64,0.0001,0.1,"['stage_2', 'stage_3', 'stage_4']",1.3862627,0.28984374,14669474.0
31,2,0,111,random,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model3_T111_0.1_3stage,CNN,1,CVRTDataModule,114,,,,L0resnet50,64,0.0001,0.1,"['stage_2', 'stage_3', 'stage_4']",1.3862954,0.26582032,14669474.0
32,2,0,111,,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model3_T111_0.1_3stage,CNN,1,CVRTDataModule,109,,,,L0resnet50,64,0.0001,0.1,"['stage_2', 'stage_3', 'stage_4']",0.5451319,0.74121094,13019486.0
33,2,0,111,,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model3_T111_0.1_3stage,CNN,1,CVRTDataModule,110,,,,L0resnet50,64,0.0001,0.1,"['stage_2', 'stage_3', 'stage_4']",2.152038,0.21757813,13019486.0
34,2,0,111,,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model3_T111_0.1_3stage,CNN,1,CVRTDataModule,111,,,,L0resnet50,64,0.0001,0.1,"['stage_2', 'stage_3', 'stage_4']",0.12595944,0.9951172,13019486.0
35,2,0,111,,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model3_T111_0.1_3stage,CNN,1,CVRTDataModule,112,,,,L0resnet50,64,0.0001,0.1,"['stage_2', 'stage_3', 'stage_4']",0.17580834,0.9941406,13019486.0
