,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,1_task,2_val_acc,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,2_test_loss,2_test_acc,2_test_L0
0,1,1,109,,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/InCount_Models/,CNN,1,CVRTDataModule,109,1.0,21.0,False,resnet50,32,0.001,-1,None,,,
1,1,0,109,None,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/InCount_Models/,CNN,1,CVRTDataModule,109,,,,resnet50,32,0.001,-1,None,0.10056942,0.9970703,0.0
2,1,0,109,None,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/InCount_Models/,CNN,1,CVRTDataModule,110,,,,resnet50,32,0.001,-1,None,1.8423182,0.3701172,0.0
3,1,0,109,None,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/InCount_Models/,CNN,1,CVRTDataModule,111,,,,resnet50,32,0.001,-1,None,2.0939906,0.2841797,0.0
4,1,0,109,None,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/InCount_Models/,CNN,1,CVRTDataModule,112,,,,resnet50,32,0.001,-1,None,0.17067732,0.9921875,0.0
5,1,0,109,None,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/InCount_Models/,CNN,1,CVRTDataModule,113,,,,resnet50,32,0.001,-1,None,0.08607102,1.0,0.0
6,1,0,109,None,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/InCount_Models/,CNN,1,CVRTDataModule,114,,,,resnet50,32,0.001,-1,None,0.062417947,1.0,0.0
7,2,1,109,,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/InCount_Models/,CNN,2,CVRTDataModule,109,1.0,23.0,False,resnet50,32,0.001,-1,None,,,
8,2,0,109,None,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/InCount_Models/,CNN,2,CVRTDataModule,109,,,,resnet50,32,0.001,-1,None,0.08942397,0.99902344,0.0
9,2,0,109,None,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/InCount_Models/,CNN,2,CVRTDataModule,110,,,,resnet50,32,0.001,-1,None,1.9630802,0.3671875,0.0
10,2,0,109,None,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/InCount_Models/,CNN,2,CVRTDataModule,111,,,,resnet50,32,0.001,-1,None,2.13334,0.2626953,0.0
11,2,0,109,None,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/InCount_Models/,CNN,2,CVRTDataModule,112,,,,resnet50,32,0.001,-1,None,0.12275544,0.9980469,0.0
12,2,0,109,None,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/InCount_Models/,CNN,2,CVRTDataModule,113,,,,resnet50,32,0.001,-1,None,0.07063648,1.0,0.0
13,2,0,109,None,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/InCount_Models/,CNN,2,CVRTDataModule,114,,,,resnet50,32,0.001,-1,None,0.05787886,1.0,0.0
14,3,1,109,,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/InCount_Models/,CNN,3,CVRTDataModule,109,1.0,14.0,False,resnet50,32,0.001,-1,None,,,
15,3,0,109,None,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/InCount_Models/,CNN,3,CVRTDataModule,109,,,,resnet50,32,0.001,-1,None,0.092340484,0.9970703,0.0
16,3,0,109,None,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/InCount_Models/,CNN,3,CVRTDataModule,110,,,,resnet50,32,0.001,-1,None,1.9417629,0.35546875,0.0
17,3,0,109,None,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/InCount_Models/,CNN,3,CVRTDataModule,111,,,,resnet50,32,0.001,-1,None,2.124802,0.25976562,0.0
18,3,0,109,None,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/InCount_Models/,CNN,3,CVRTDataModule,112,,,,resnet50,32,0.001,-1,None,0.12993127,0.99609375,0.0
19,3,0,109,None,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/InCount_Models/,CNN,3,CVRTDataModule,113,,,,resnet50,32,0.001,-1,None,0.08010766,1.0,0.0
20,3,0,109,None,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/InCount_Models/,CNN,3,CVRTDataModule,114,,,,resnet50,32,0.001,-1,None,0.060465008,1.0,0.0
