Base_Model,Ablation,Task,Performance,singular
0,0,Subject,0.75,1
0,0,Subject,0.75,1
0,0,Subject,0.69666666,1
0,1,Subject,0.64333335,1
0,1,Subject,0.75,1
0,1,Subject,0.74333334,1
0,0,Verb,0.70333337,1
0,0,Verb,0.73333335,1
0,0,Verb,0.73333335,1
0,1,Verb,0.44333332,1
0,1,Verb,0.72666666,1
0,1,Verb,0.7266667,1
1,0,Subject,0.75,1
1,0,Subject,0.75,1
1,0,Subject,0.75,1
1,1,Subject,0.28666669,1
1,1,Subject,0.15000000000000002,1
1,1,Subject,0.26666665,1
1,0,Verb,0.73333335,1
1,0,Verb,0.70333337,1
1,0,Verb,0.73333335,1
1,1,Verb,0.72666666,1
1,1,Verb,0.44333332,1
1,1,Verb,0.7266667,1
2,0,Subject,0.75,1
2,0,Subject,0.75,1
2,0,Subject,0.75,1
2,1,Subject,0.49666666,1
2,1,Subject,0.28333329999999995,1
2,1,Subject,0.4133333,1
2,0,Verb,0.74666667,1
2,0,Verb,0.74333334,1
2,0,Verb,0.74666667,1
2,1,Verb,0.65,1
2,1,Verb,0.7400000099999999,1
2,1,Verb,0.48000004,1
0,0,Subject,0.71666667,0
0,0,Subject,0.75,0
0,0,Subject,0.64333335,0
0,1,Subject,-0.14333332999999998,0
0,1,Subject,0.08666669999999993,0
0,1,Subject,-0.13,0
0,0,Verb,0.7333333200000001,0
0,0,Verb,0.75,0
0,0,Verb,0.75,0
0,1,Verb,0.74666667,0
0,1,Verb,0.74,0
0,1,Verb,0.75,0
1,0,Subject,0.75,0
1,0,Subject,0.75,0
1,0,Subject,0.75,0
1,1,Subject,0.05666663999999999,0
1,1,Subject,0.46,0
1,1,Subject,0.32333330000000005,0
1,0,Verb,0.75,0
1,0,Verb,0.75,0
1,0,Verb,0.7266667,0
1,1,Verb,0.75,0
1,1,Verb,0.75,0
1,1,Verb,0.53,0
2,0,Subject,0.65666667,0
2,0,Subject,0.75,0
2,0,Subject,0.75,0
2,1,Subject,-0.12000001000000005,0
2,1,Subject,0.13000003,0
2,1,Subject,-0.02999999999999997,0
2,0,Verb,0.75,0
2,0,Verb,0.75,0
2,0,Verb,0.75,0
2,1,Verb,0.74,0
2,1,Verb,0.75,0
2,1,Verb,0.75,0
