Jobs for user [1mmlepori(B[m

[1mRunning:(B[m
ID       NAME                               PART.        QOS             CPU  WALLTIME  REMAIN    NODES
6691924  CS-WRN50_model2_T104_-0.01_2stage  3090-gcondo  cs-3090-gcondo  1    12:00:00  8:41:34   gpu2102
6692004  CS-RN50_model1_T105_-0.01_2stage   gpu          carney-gcondo   1    12:00:00  8:49:34   gpu1402
6691925  CS-WRN50_model2_T104_-0.01_3stage  3090-gcondo  cs-3090-gcondo  1    12:00:00  8:52:34   gpu2111
6691926  CS-WRN50_model2_T104_-0.01_5stage  3090-gcondo  cs-3090-gcondo  1    12:00:00  8:55:57   gpu2111
6692005  CS-RN50_model1_T105_-0.01_3stage   gpu          carney-gcondo   1    12:00:00  9:19:59   gpu2006
6692006  CS-RN50_model1_T105_-0.01_5stage   gpu          carney-gcondo   1    12:00:00  9:27:59   gpu2002
6692007  CS-RN50_model1_T105_0.0_1stage     gpu          carney-gcondo   1    12:00:00  9:27:59   gpu2008
6692008  CS-RN50_model1_T105_0.0_2stage     gpu          carney-gcondo   1    12:00:00  9:27:59   gpu2008
6692009  CS-RN50_model1_T105_-0.03_1stage   gpu          carney-gcondo   1    12:00:00  9:27:59   gpu2008
6692010  CS-RN50_model1_T105_-0.03_2stage   gpu          carney-gcondo   1    12:00:00  9:31:59   gpu2004
6692011  CS-RN50_model1_T105_-0.03_3stage   gpu          carney-gcondo   1    12:00:00  9:38:00   gpu1203
6692012  CS-RN50_model1_T105_-0.03_5stage   gpu          carney-gcondo   1    12:00:00  9:38:34   gpu2004
6691927  CS-WRN50_model2_T104_0.0_1stage    3090-gcondo  cs-3090-gcondo  1    12:00:00  9:43:34   gpu2264
6691928  CS-WRN50_model2_T104_0.0_2stage    3090-gcondo  cs-3090-gcondo  1    12:00:00  9:53:35   gpu2111
6691929  CS-WRN50_model2_T104_-0.03_1stage  3090-gcondo  cs-3090-gcondo  1    12:00:00  9:59:35   gpu2111
6692013  CS-RN50_model1_T105_0.0_3stage     gpu          carney-gcondo   1    12:00:00  10:26:35  gpu2006
6691930  CS-WRN50_model2_T104_-0.03_2stage  3090-gcondo  cs-3090-gcondo  1    12:00:00  10:27:35  gpu2108
6691931  CS-WRN50_model2_T104_-0.03_3stage  3090-gcondo  cs-3090-gcondo  1    12:00:00  10:46:04  gpu2114
6691932  CS-WRN50_model2_T104_-0.03_5stage  3090-gcondo  cs-3090-gcondo  1    12:00:00  10:52:05  gpu2113
6691933  CS-WRN50_model2_T104_0.0_3stage    3090-gcondo  cs-3090-gcondo  1    12:00:00  10:56:35  gpu2102
6691934  CS-WRN50_model2_T104_-0.05_1stage  3090-gcondo  cs-3090-gcondo  1    12:00:00  10:58:30  gpu2113
6692014  CS-RN50_model1_T105_-0.05_1stage   gpu          carney-gcondo   1    12:00:00  11:23:36  gpu1401
6692015  CS-RN50_model1_T105_-0.05_2stage   gpu          carney-gcondo   1    12:00:00  11:23:36  gpu2008
6691935  CS-WRN50_model2_T104_-0.05_2stage  3090-gcondo  cs-3090-gcondo  1    12:00:00  11:30:35  gpu2116
6691936  CS-WRN50_model2_T104_-0.05_3stage  3090-gcondo  cs-3090-gcondo  1    12:00:00  11:35:35  gpu2113
6692016  CS-RN50_model1_T105_-0.05_3stage   gpu          carney-gcondo   1    12:00:00  11:36:35  gpu1402
6692017  CS-RN50_model1_T105_-0.05_5stage   gpu          carney-gcondo   1    12:00:00  11:51:36  gpu2009

[1mPending:(B[m
ID       NAME                               PART.        QOS             CPU  WALLTIME  EST.START  REASON
6691937  CS-WRN50_model2_T104_-0.05_5stage  3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6691938  CS-WRN50_model2_T104_0.0_5stage    3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6691939  CS-WRN50_model2_T105_-0.01_1stage  3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6691940  CS-WRN50_model2_T105_-0.01_2stage  3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6691941  CS-WRN50_model2_T105_-0.01_3stage  3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6691942  CS-WRN50_model2_T105_-0.01_5stage  3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6691943  CS-WRN50_model2_T105_0.0_1stage    3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6691944  CS-WRN50_model2_T105_0.0_2stage    3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6691945  CS-WRN50_model2_T105_-0.03_1stage  3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6691946  CS-WRN50_model2_T105_-0.03_2stage  3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6691947  CS-WRN50_model2_T105_-0.03_3stage  3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6691948  CS-WRN50_model2_T105_-0.03_5stage  3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6691949  CS-WRN50_model2_T105_0.0_3stage    3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6691950  CS-WRN50_model2_T105_-0.05_1stage  3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6691951  CS-WRN50_model2_T105_-0.05_2stage  3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6691952  CS-WRN50_model2_T105_-0.05_3stage  3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6691953  CS-WRN50_model2_T105_-0.05_5stage  3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6691954  CS-WRN50_model2_T105_0.0_5stage    3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6691955  CS-WRN50_model3_T104_-0.01_1stage  3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6691956  CS-WRN50_model3_T104_-0.01_2stage  3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
