Base_Model,Ablation,Task,Performance
0,0,Inside,0.75
0,0,Inside,0.75
0,0,Inside,0.75
0,1,Inside,0.0
0,1,Inside,0.0
0,1,Inside,0.0
0,0,Contact,0.28400000000000003
0,0,Contact,0.30800000000000005
0,0,Contact,0.32799999999999996
0,1,Contact,0.0
0,1,Contact,0.0
0,1,Contact,0.0
1,0,Inside,0.75
1,0,Inside,0.75
1,0,Inside,0.75
1,1,Inside,-0.11299999999999999
1,1,Inside,-0.10299999999999998
1,1,Inside,-0.08100000000000002
1,0,Contact,0.569
1,0,Contact,0.5209999999999999
1,0,Contact,0.556
1,1,Contact,-0.746
1,1,Contact,-0.749
1,1,Contact,-0.749
