Base_Model,Ablation,Task,Performance
0,0,Contact,0.483
0,0,Contact,0.485
0,0,Contact,0.496
0,1,Contact,-0.21799999999999997
0,1,Contact,-0.22399999999999998
0,1,Contact,-0.21299999999999997
0,0,Number,0.603
0,0,Number,0.623
0,0,Number,0.6379999999999999
0,1,Number,0.04899999999999999
0,1,Number,-0.07300000000000001
0,1,Number,0.045999999999999985
1,0,Contact,0.729
1,0,Contact,0.6970000000000001
1,0,Contact,0.7
1,1,Contact,-0.42800000000000005
1,1,Contact,-0.343
1,1,Contact,-0.37099999999999994
1,0,Number,0.41600000000000004
1,0,Number,0.404
1,0,Number,0.399
1,1,Number,-0.039999999999999925
1,1,Number,-0.04799999999999993
1,1,Number,-0.04699999999999993
2,0,Contact,0.41600000000000004
2,0,Contact,0.44499999999999995
2,0,Contact,0.43899999999999995
2,1,Contact,-0.3500000000000001
2,1,Contact,-0.3520000000000001
2,1,Contact,-0.3510000000000001
2,0,Number,0.6659999999999999
2,0,Number,0.688
2,0,Number,0.627
2,1,Number,0.08100000000000002
2,1,Number,-0.057999999999999996
2,1,Number,-0.010000000000000009
