,Unnamed: 0,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,0_LM_init,0_freeze_until,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max,Quality Score,Base Model
26,26,69234cfe-e569-47c8-a5a0-5e0ab580889f,0,7,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24/7/T7_0.05_2stage,BERT_small,0,SyntaxDataModule,,,9,,,,,BERT_small,64,0.0001,0.05,2,validate,0.21336542,0.97333336,5897398.0,6553600.0,0.05000002999999997,2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24
27,27,69234cfe-e569-47c8-a5a0-5e0ab580889f,0,7,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24/7/T7_0.05_2stage,BERT_small,0,SyntaxDataModule,,,5,,,,,BERT_small,64,0.0001,0.05,2,validate,0.75175816,0.886,656202.0,6553600.0,0.05000002999999997,2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24
28,28,69234cfe-e569-47c8-a5a0-5e0ab580889f,0,7,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24/7/T7_0.05_2stage,BERT_small,0,SyntaxDataModule,,,6,,,,,BERT_small,64,0.0001,0.05,2,validate,2.3114038,0.254,656202.0,6553600.0,0.05000002999999997,2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24
29,29,69234cfe-e569-47c8-a5a0-5e0ab580889f,0,7,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24/7/T7_0.05_2stage,BERT_small,0,SyntaxDataModule,,,7,,,,,BERT_small,64,0.0001,0.05,2,validate,0.192156,0.92,656202.0,6553600.0,0.05000002999999997,2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24
30,30,69234cfe-e569-47c8-a5a0-5e0ab580889f,0,7,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24/7/T7_0.05_2stage,BERT_small,0,SyntaxDataModule,,,8,,,,,BERT_small,64,0.0001,0.05,2,validate,0.2001208,0.97333336,656202.0,6553600.0,0.05000002999999997,2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24
31,31,69234cfe-e569-47c8-a5a0-5e0ab580889f,0,7,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24/7/T7_0.05_2stage,BERT_small,0,SyntaxDataModule,,,9,,,,,BERT_small,64,0.0001,0.05,2,validate,1.3860097,0.82666665,656202.0,6553600.0,0.05000002999999997,2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24
0,0,5a437666-80c7-4b8f-af43-8ae7130ed5d2,1,6,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24/6/T6_0.05_0stage,BERT_small,0,SyntaxDataModule,False,-1.0,6,1.0,0.0546542778611183,86.0,True,BERT_small,64,0.01,0.05,0,,,,,,0.45333334000000003,2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24
1,1,5a437666-80c7-4b8f-af43-8ae7130ed5d2,0,6,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24/6/T6_0.05_0stage,BERT_small,0,SyntaxDataModule,,,5,,,,,BERT_small,64,0.01,0.05,0,validate,1.3862933,0.754,12731513.0,12845056.0,0.45333334000000003,2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24
2,2,5a437666-80c7-4b8f-af43-8ae7130ed5d2,0,6,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24/6/T6_0.05_0stage,BERT_small,0,SyntaxDataModule,,,6,,,,,BERT_small,64,0.01,0.05,0,validate,1.3862947,0.188,12731513.0,12845056.0,0.45333334000000003,2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24
3,3,5a437666-80c7-4b8f-af43-8ae7130ed5d2,0,6,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24/6/T6_0.05_0stage,BERT_small,0,SyntaxDataModule,,,7,,,,,BERT_small,64,0.01,0.05,0,validate,1.386293,0.896,12731513.0,12845056.0,0.45333334000000003,2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24
