Base_Model,Ablation,Task,Performance
0,0,Contact,0.44300000000000006
0,0,Contact,0.42900000000000005
0,0,Contact,0.45899999999999996
0,1,Contact,0.024999999999999967
0,1,Contact,0.0
0,1,Contact,0.02100000000000002
0,0,Number,0.75
0,0,Number,0.75
0,0,Number,0.75
0,1,Number,0.01100000000000001
0,1,Number,-0.010000000000000009
0,1,Number,0.0
1,0,Contact,0.601
1,0,Contact,0.6359999999999999
1,0,Contact,0.586
1,1,Contact,0.0040000000000000036
1,1,Contact,0.01899999999999996
1,1,Contact,0.044999999999999984
1,0,Number,0.0040000000000000036
1,0,Number,0.0
1,0,Number,0.0050000000000000044
1,1,Number,0.0
1,1,Number,0.0
1,1,Number,0.0
2,0,Contact,0.42300000000000004
2,0,Contact,0.45499999999999996
2,0,Contact,0.43700000000000006
2,1,Contact,0.009000000000000008
2,1,Contact,0.04899999999999999
2,1,Contact,0.03799999999999998
2,0,Number,0.746
2,0,Number,0.75
2,0,Number,0.748
2,1,Number,0.0040000000000000036
2,1,Number,-0.018000000000000016
2,1,Number,0.014000000000000012
