Base_Model,Ablation,Task,Performance
0,0,Inside,0.31899999999999995
0,0,Inside,0.275
0,0,Inside,0.32099999999999995
0,1,Inside,0.0
0,1,Inside,0.0
0,1,Inside,-0.008000000000000007
0,0,Contact,0.139
0,0,Contact,0.08700000000000002
0,0,Contact,0.15200000000000002
0,1,Contact,-0.02400000000000002
0,1,Contact,-0.026000000000000023
0,1,Contact,-0.014000000000000012
1,0,Inside,0.708
1,0,Inside,0.681
1,0,Inside,0.705
1,1,Inside,0.028000000000000025
1,1,Inside,0.0050000000000000044
1,1,Inside,0.02100000000000002
1,0,Contact,0.487
1,0,Contact,0.46799999999999997
1,0,Contact,0.488
1,1,Contact,-0.020000000000000018
1,1,Contact,-0.009000000000000008
1,1,Contact,-0.0050000000000000044
2,0,Inside,0.712
2,0,Inside,0.702
2,0,Inside,0.701
2,1,Inside,0.007000000000000006
2,1,Inside,-0.016000000000000014
2,1,Inside,0.0
2,0,Contact,-0.009000000000000008
2,0,Contact,0.02100000000000002
2,0,Contact,-0.018000000000000016
2,1,Contact,0.019000000000000017
2,1,Contact,0.0
2,1,Contact,0.007000000000000006
