,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_seed,0_dataset,0_eval_type,1_task,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,fe0415c3-b193-429d-afcc-6cce07eaea5d,0,117,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50_SimCLR/L0_Reporting/c837016c-fe1e-4306-8782-7b0ad0037564_T117,0,CVRTDataModule,test,115,resnet50,64,0.01,0.05,['stage_4'],1.3733561,0.805,682249.0,19398656.0
1,fe0415c3-b193-429d-afcc-6cce07eaea5d,0,117,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50_SimCLR/L0_Reporting/c837016c-fe1e-4306-8782-7b0ad0037564_T117,0,CVRTDataModule,test,115,resnet50,64,0.01,0.05,['stage_4'],0.7166628,0.806,18716407.0,19398656.0
