Base_Model,Ablation,Task,Performance,singular
0,0,Subject,0.6,1
0,0,Subject,0.58333334,1
0,0,Subject,0.74,1
0,1,Subject,-0.11333334,1
0,1,Subject,-0.11333334,1
0,1,Subject,-0.24333334,1
0,0,Verb,0.70666668,1
0,0,Verb,0.51333332,1
0,0,Verb,0.28666670000000005,1
0,1,Verb,-0.44666669999999997,1
0,1,Verb,-0.61333334,1
0,1,Verb,-0.75,1
1,0,Subject,0.0066666600000000464,1
1,0,Subject,0.0066666600000000464,1
1,0,Subject,0.016666650000000005,1
1,1,Subject,-0.45333331999999993,1
1,1,Subject,-0.38333333,1
1,1,Subject,-0.59333334,1
1,0,Verb,0.48333335,1
1,0,Verb,0.5166666799999999,1
1,0,Verb,0.50666666,1
1,1,Verb,-0.11666666999999997,1
1,1,Verb,-0.07999998000000003,1
1,1,Verb,-0.24000001000000004,1
2,0,Subject,0.72666666,1
2,0,Subject,0.75,1
2,0,Subject,0.72666666,1
2,1,Subject,-0.65,1
2,1,Subject,-0.54666664,1
2,1,Subject,-0.6533333,1
2,0,Verb,-0.040000000000000036,1
2,0,Verb,-0.04666669999999995,1
2,0,Verb,-0.03333335999999998,1
2,1,Verb,-0.030000000000000027,1
2,1,Verb,-0.030000000000000027,1
2,1,Verb,-0.030000029999999955,1
0,0,Subject,0.50333333,0
0,0,Subject,0.42000000000000004,0
0,0,Subject,0.3833333,0
0,1,Subject,-0.2633333000000001,0
0,1,Subject,-0.21333334000000004,0
0,1,Subject,0.0,0
0,0,Verb,0.19333330000000004,0
0,0,Verb,0.4033333,0
0,0,Verb,0.19666669999999997,0
0,1,Verb,-0.026666699999999932,0
0,1,Verb,0.0,0
0,1,Verb,-0.020000050000000047,0
1,0,Subject,0.72666666,0
1,0,Subject,0.72666666,0
1,0,Subject,0.75,0
1,1,Subject,-0.5833333599999999,0
1,1,Subject,-0.66666666,0
1,1,Subject,-0.62000004,0
1,0,Verb,0.73,0
1,0,Verb,0.75,0
1,0,Verb,0.75,0
1,1,Verb,0.013333350000000022,0
1,1,Verb,0.033333329999999994,0
1,1,Verb,-0.0033333300000000232,0
2,0,Subject,0.33999999999999997,0
2,0,Subject,0.42000000000000004,0
2,0,Subject,0.69333333,0
2,1,Subject,-0.013333319999999982,0
2,1,Subject,0.0,0
2,1,Subject,-0.46000001,0
2,0,Verb,0.7333333200000001,0
2,0,Verb,0.57333335,0
2,0,Verb,0.75,0
2,1,Verb,0.12666665999999993,0
2,1,Verb,0.1433333,0
2,1,Verb,-0.23666666000000003,0
