Base_Model,Ablation,Task,Performance,singular
0,0,Pronoun,0.15000000000000002,1
0,0,Pronoun,0.15500000000000003,1
0,0,Pronoun,0.18000000000000005,1
0,1,Pronoun,-0.07499999999999996,1
0,1,Pronoun,-0.040000000000000036,1
0,1,Pronoun,-0.07999999999999996,1
0,0,Antecedent,0.020000000000000018,1
0,0,Antecedent,0.015000000000000013,1
0,0,Antecedent,0.040000000000000036,1
0,1,Antecedent,-0.43500000000000005,1
0,1,Antecedent,-0.355,1
0,1,Antecedent,-0.0050000000000000044,1
1,0,Pronoun,0.7150000000000001,1
1,0,Pronoun,0.71,1
1,0,Pronoun,0.69,1
1,1,Pronoun,-0.24,1
1,1,Pronoun,-0.21499999999999997,1
1,1,Pronoun,-0.235,1
1,0,Antecedent,0.030000000000000027,1
1,0,Antecedent,0.040000000000000036,1
1,0,Antecedent,0.51,1
1,1,Antecedent,0.0,1
1,1,Antecedent,0.0,1
1,1,Antecedent,0.0,1
2,0,Pronoun,0.37,1
2,0,Pronoun,0.37,1
2,0,Pronoun,0.42000000000000004,1
2,1,Pronoun,-0.2,1
2,1,Pronoun,-0.13,1
2,1,Pronoun,0.0,1
2,0,Antecedent,0.745,1
2,0,Antecedent,0.74,1
2,0,Antecedent,0.75,1
2,1,Antecedent,-0.39,1
2,1,Antecedent,-0.38,1
2,1,Antecedent,-0.33499999999999996,1
0,0,Pronoun,0.6,0
0,0,Pronoun,0.69,0
0,0,Pronoun,0.595,0
0,1,Pronoun,-0.47500000000000003,0
0,1,Pronoun,-0.24,0
0,1,Pronoun,0.015000000000000013,0
0,0,Antecedent,0.7050000000000001,0
0,0,Antecedent,0.75,0
0,0,Antecedent,0.675,0
0,1,Antecedent,-0.585,0
0,1,Antecedent,-0.5149999999999999,0
0,1,Antecedent,-0.325,0
1,0,Pronoun,0.7,0
1,0,Pronoun,0.6950000000000001,0
1,0,Pronoun,0.6950000000000001,0
1,1,Pronoun,0.0,0
1,1,Pronoun,0.0,0
1,1,Pronoun,0.0,0
1,0,Antecedent,0.0,0
1,0,Antecedent,0.0,0
1,0,Antecedent,0.0,0
1,1,Antecedent,-0.33999999999999997,0
1,1,Antecedent,-0.33999999999999997,0
1,1,Antecedent,-0.355,0
2,0,Pronoun,0.62,0
2,0,Pronoun,0.615,0
2,0,Pronoun,0.5900000000000001,0
2,1,Pronoun,-0.5449999999999999,0
2,1,Pronoun,-0.595,0
2,1,Pronoun,-0.6599999999999999,0
2,0,Antecedent,0.10999999999999999,0
2,0,Antecedent,0.745,0
2,0,Antecedent,0.45499999999999996,0
2,1,Antecedent,-0.505,0
2,1,Antecedent,-0.435,0
2,1,Antecedent,-0.75,0
